GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ferris-attachment,org.ferris.attachment.console.application,ApplicationDirectoryProducer,28,0,0,0,7,0,2,0,2,0
ferris-attachment,org.ferris.attachment.console.application,ApplicationDirectory,4,0,0,0,2,0,1,0,1,0
ferris-attachment,org.ferris.attachment.console.application,ApplicationSubDirectory,28,0,0,0,2,0,4,0,4,0
ferris-attachment,org.ferris.attachment.console.retry,ExceptionRetryInterceptor,44,0,2,0,10,0,3,0,2,0
ferris-attachment,org.ferris.attachment.console.message,MessagePropertyProducer,32,0,0,0,6,0,2,0,2,0
ferris-attachment,org.ferris.attachment.console.conf,ConfDirectory,12,0,0,0,2,0,1,0,1,0
ferris-attachment,org.ferris.attachment.console.attachment,AttachmentHandler,135,0,8,0,32,0,12,0,8,0
ferris-attachment,org.ferris.attachment.console.email,EmailEvent,44,0,0,0,17,0,12,0,12,0
ferris-attachment,org.ferris.attachment.console.email,EmailPropertyProducer,32,0,0,0,6,0,2,0,2,0
ferris-attachment,org.ferris.attachment.console.email,EmailSender,204,0,6,0,42,0,6,0,3,0
ferris-attachment,org.ferris.attachment.console.email,EmailSender.new Authenticator() {...},16,0,0,0,2,0,2,0,2,0
ferris-attachment,org.ferris.attachment.console.email,EmailRenderer,84,0,2,0,19,0,3,0,2,0
ferris-attachment,org.ferris.attachment.console.email,EmailSender.new FileDataSource() {...},9,0,0,0,2,0,2,0,2,0
ferris-attachment,org.ferris.attachment.console.email,EmailPrinter,45,0,0,0,6,0,2,0,2,0
ferris-attachment,org.ferris.attachment.console.arguments,ArgumentUsageException,4,0,0,0,2,0,1,0,1,0
ferris-attachment,org.ferris.attachment.console.arguments,ArgumentParserProducer,14,0,0,0,4,0,3,0,3,0
ferris-attachment,org.ferris.attachment.console.arguments,ArgumentParser,112,0,16,0,29,0,16,0,8,0
ferris-attachment,org.ferris.attachment.console.log4j,Log4jLoggerProducer,8,0,0,0,2,0,2,0,2,0
ferris-attachment,org.ferris.attachment.console.log4j,Log4jRollingFileAppender,58,0,2,0,14,0,4,0,3,0
ferris-attachment,org.ferris.attachment.console.main,Main,45,0,0,0,12,0,3,0,3,0
ferris-attachment,org.ferris.attachment.console.main,InitializationEvent,9,0,0,0,4,0,2,0,2,0
